28
830
830
31 	1 	  	39 	50
125 	0 	  	125 	129
10 	25 	  	13 	30
63 	64 	  	63 	63
17 	16 	  	22 	26
3 	30 	  	4 	5
10 	24 	  	13 	15
113 	10 	  	113 	123
14 	21 	  	17 	31
7 	27 	  	9 	21
50 	75 	  	50 	52
24 	12 	  	31 	41
7 	26 	  	9 	16
113 	13 	  	113 	127
113 	14 	  	113 	125
125 	0 	  	125 	126
125 	1 	  	125 	142
100 	24 	  	100 	109
38 	87 	  	38 	59
14 	18 	  	17 	31
35 	0 	  	44 	42
10 	25 	  	13 	21
24 	8 	  	31 	24
7 	26 	  	9 	0
125 	0 	  	125 	139
25 	100 	  	25 	32
100 	25 	  	100 	106
75 	49 	  	75 	74
