28
1070
1070
122   70    114   13
52   151    49   128
122   77    114   64
69   128    65   128
35   169    33   103
133   53    131   90
13   204    13   135
80   127    79   77
93   107    92   95
40   169    39   81
17   191    16   38
174   9    163   64
119   79    118   77
106   98    105   128
27   179    26   77
93   115    92   41
52   163    49   38
13   195    13   27
156   35    146   115
139   60    130   95
66   134    65   128
174   18    163   26
139   54    130   128
17   195    16   27
17   199    16   77
35   179    33   90
53   152    52   41
66   141    65   14
