28
600
600
1898 	26768 	  	45 	30
440 	3085 	  	0 	20
22507 	11910 	  	85 	125
270 	9460 	  	150 	5
14148 	22278 	  	65 	80
3100 	20195 	  	95 	25
4650 	8211 	  	30 	35
30800 	4238 	  	0 	73
615 	18193 	  	170 	12
4975 	29865 	  	0 	15
1160 	29235 	  	40 	15
4225 	25183 	  	25 	40
510 	26526 	  	20 	5
11880 	15915 	  	0 	10
479 	28985 	  	0 	10
440 	2661 	  	25 	12
490 	3197 	  	0 	10
330 	933 	  	0 	9
110 	2354 	  	25 	0
560 	26414 	  	0 	20
24355 	6761 	  	165 	60
2885 	15241 	  	0 	40
11748 	14281 	  	85 	50
4550 	553 	  	0 	36
750 	21037 	  	0 	49
3720 	21978 	  	0 	40
1950 	11118 	  	0 	19
10500 	5287 	  	100 	150
