28
600
600
57 	20 	  	45 	30
94 	19 	  	0 	20
59 	20 	  	85 	125
83 	66 	  	150 	5
82 	48 	  	65 	80
91 	100 	  	95 	25
42 	13 	  	30 	35
84 	87 	  	0 	73
85 	62 	  	170 	12
18 	73 	  	0 	15
94 	53 	  	40 	15
18 	79 	  	25 	40
31 	17 	  	20 	5
27 	93 	  	0 	10
31 	78 	  	0 	10
42 	22 	  	25 	12
58 	85 	  	0 	10
57 	86 	  	0 	9
55 	56 	  	25 	0
97 	56 	  	0 	20
79 	44 	  	165 	60
10 	86 	  	0 	40
34 	94 	  	85 	50
100 	93 	  	0 	36
98 	57 	  	0 	49
45 	31 	  	0 	40
19 	20 	  	0 	19
77 	35 	  	100 	150
