28
600
600
1898 	510 	  	45 	30
440 	11880 	  	0 	20
22507 	2885 	  	85 	125
270 	30800 	  	150 	5
14148 	440 	  	65 	80
3100 	4550 	  	95 	25
4650 	440 	  	30 	35
30800 	615 	  	0 	73
615 	110 	  	170 	12
4975 	1950 	  	0 	15
1160 	10500 	  	40 	15
4225 	4650 	  	25 	40
510 	22507 	  	20 	5
11880 	330 	  	0 	10
479 	1160 	  	0 	10
440 	11748 	  	25 	12
490 	4975 	  	0 	10
330 	270 	  	0 	9
110 	3100 	  	25 	0
560 	560 	  	0 	20
24355 	750 	  	165 	60
2885 	3720 	  	0 	40
11748 	1898 	  	85 	50
4550 	4225 	  	0 	36
750 	24355 	  	0 	49
3720 	490 	  	0 	40
1950 	14148 	  	0 	19
10500 	479 	  	100 	150
