28
600
600
1898 	9701 	  	45 	30
440 	9913 	  	0 	20
22507 	3121 	  	85 	125
270 	9688 	  	150 	5
14148 	6075 	  	65 	80
3100 	9309 	  	95 	25
4650 	8476 	  	30 	35
30800 	891 	  	0 	73
615 	9851 	  	170 	12
4975 	8481 	  	0 	15
1160 	10033 	  	40 	15
4225 	9011 	  	25 	40
510 	9544 	  	20 	5
11880 	6723 	  	0 	10
479 	10101 	  	0 	10
440 	9677 	  	25 	12
490 	9765 	  	0 	10
330 	9673 	  	0 	9
110 	10464 	  	25 	0
560 	9596 	  	0 	20
24355 	2481 	  	165 	60
2885 	9261 	  	0 	40
11748 	6461 	  	85 	50
4550 	9037 	  	0 	36
750 	9709 	  	0 	49
3720 	8732 	  	0 	40
1950 	9357 	  	0 	19
10500 	6392 	  	100 	150
