28
825
825
1898 	9701 	  	94 	55
440 	9913 	  	74 	10
22507 	3121 	  	77 	97
270 	9688 	  	74 	73
14148 	6075 	  	29 	69
3100 	9309 	  	11 	23
4650 	8476 	  	73 	62
30800 	891 	  	80 	47
615 	9851 	  	81 	90
4975 	8481 	  	82 	62
1160 	10033 	  	75 	96
4225 	9011 	  	42 	88
510 	9544 	  	44 	95
11880 	6723 	  	57 	61
479 	10101 	  	20 	94
440 	9677 	  	20 	16
490 	9765 	  	99 	91
330 	9673 	  	95 	61
110 	10464 	  	52 	27
560 	9596 	  	81 	18
24355 	2481 	  	68 	96
2885 	9261 	  	16 	77
11748 	6461 	  	79 	14
4550 	9037 	  	30 	36
750 	9709 	  	16 	17
3720 	8732 	  	90 	56
1950 	9357 	  	21 	83
10500 	6392 	  	49 	41
