28
600
600
1898 	2165 		45 	30
440 	9927 		0 	20
22507 	825 		85 	125
270 	2422 		150 	5
14148 	5859 		65 	80
3100 	3139 		95 	25
4650 	4074 		30 	35
30800 	5705 		0 	73
615 	553 		170 	12
4975 	9051 		0 	15
1160 	2831 		40 	15
4225 	1567 		25 	40
510 	3633 		20 	5
11880 	945 		0 	10
479 	3631 		0 	10
440 	5820 		25 	12
490 	5843 		0 	10
330 	6851 		0 	9
110 	8679 		25 	0
560 	536 		0 	20
24355 	8057 		165 	60
2885 	9980 		0 	40
11748 	8997 		85 	50
4550 	8204 		0 	36
750 	5705 		0 	49
3720 	5883 		0 	40
1950 	4990 		0 	19
10500 	1274 		100 	150
