28
825
825
1898 	20 	  	94 	55
440 	19 	  	74 	10
22507 	20 	  	77 	97
270 	66 	  	74 	73
14148 	48 	  	29 	69
3100 	100 	  	11 	23
4650 	13 	  	73 	62
30800 	87 	  	80 	47
615 	62 	  	81 	90
4975 	73 	  	82 	62
1160 	53 	  	75 	96
4225 	79 	  	42 	88
510 	17 	  	44 	95
11880 	93 	  	57 	61
479 	78 	  	20 	94
440 	22 	  	20 	16
490 	85 	  	99 	91
330 	86 	  	95 	61
110 	56 	  	52 	27
560 	56 	  	81 	18
24355 	44 	  	68 	96
2885 	86 	  	16 	77
11748 	94 	  	79 	14
4550 	93 	  	30 	36
750 	57 	  	16 	17
3720 	31 	  	90 	56
1950 	20 	  	21 	83
10500 	35 	  	49 	41
