500
13743
13357
100 59	68 55
53 31	80 18
48 75	93 80
38 83	14 62
72 92	89 75
70 17	15 97
75 22	37 54
11 65	41 70
87 45	76 11
70 67	26 44
88 64	25 55
32 77	93 35
78 63	17 86
72 72	29 58
83 96	53 43
18 32	27 12
30 12	71 16
12 43	26 75
88 59	99 11
69 73	87 12
39 69	12 51
68 80	60 20
28 57	98 100
33 65	93 53
26 34	81 53
89 41	74 61
31 23	17 27
42 67	16 79
88 17	75 19
87 81	84 77
75 29	18 18
65 24	61 37
45 57	49 35
33 59	65 43
47 36	55 96
40 92	23 13
30 11	96 89
75 28	56 51
25 10	30 39
14 58	16 70
49 15	74 48
66 34	63 24
49 72	58 86
19 33	30 18
42 18	82 49
81 81	42 14
50 38	43 78
47 74	72 17
67 92	22 79
54 93	15 48
75 22	64 10
75 86	22 67
86 99	10 75
82 39	36 17
47 17	25 66
63 32	62 76
35 100	82 36
76 19	43 73
50 73	50 62
54 45	41 20
25 99	60 39
83 16	90 26
25 91	28 44
19 23	17 53
31 75	26 82
10 61	92 17
37 14	17 20
18 72	93 61
59 30	36 22
85 97	83 67
72 77	67 91
67 79	89 76
38 93	19 28
57 34	62 22
39 43	64 41
95 51	49 50
12 83	14 75
27 71	41 72
97 38	47 96
75 88	34 63
10 40	24 53
54 34	52 57
39 65	60 28
50 39	29 27
35 42	67 25
32 60	88 52
35 80	20 78
95 62	24 70
73 51	39 30
42 93	44 49
52 87	62 84
76 78	25 41
34 51	83 80
82 59	38 90
71 89	25 91
56 62	29 30
54 80	96 59
63 68	92 43
74 27	53 77
40 37	69 74
100 58	57 64
45 33	91 83
41 86	83 88
83 97	54 21
48 24	97 15
20 95	75 30
34 93	52 49
24 34	89 12
19 66	41 99
30 23	25 87
72 66	91 71
14 20	89 86
29 86	83 70
73 85	16 23
25 14	84 97
44 19	51 33
31 78	34 86
38 22	21 67
88 40	97 46
39 98	52 57
33 28	43 22
56 19	26 84
89 96	37 38
80 86	78 43
53 64	95 72
100 98	17 49
35 17	37 41
86 92	67 77
14 97	98 22
85 98	42 16
40 97	65 100
63 76	64 43
26 78	17 33
73 92	62 56
45 30	24 30
57 56	71 98
72 43	58 68
23 70	39 43
17 37	85 44
41 90	69 77
17 56	47 16
23 12	87 20
71 82	33 88
33 17	13 100
21 70	35 20
92 80	22 27
22 62	29 65
12 29	10 72
11 14	78 91
22 99	20 18
51 46	20 33
96 22	32 55
