28
825
825
57 	20 	  	94 	55
94 	19 	  	74 	10
59 	20 	  	77 	97
83 	66 	  	74 	73
82 	48 	  	29 	69
91 	100 	  	11 	23
42 	13 	  	73 	62
84 	87 	  	80 	47
85 	62 	  	81 	90
18 	73 	  	82 	62
94 	53 	  	75 	96
18 	79 	  	42 	88
31 	17 	  	44 	95
27 	93 	  	57 	61
31 	78 	  	20 	94
42 	22 	  	20 	16
58 	85 	  	99 	91
57 	86 	  	95 	61
55 	56 	  	52 	27
97 	56 	  	81 	18
79 	44 	  	68 	96
10 	86 	  	16 	77
34 	94 	  	79 	14
100 	93 	  	30 	36
98 	57 	  	16 	17
45 	31 	  	90 	56
19 	20 	  	21 	83
77 	35 	  	49 	41
