750
20351
20460
89 82	39 86
31 71	14 40
29 78	35 95
47 73	34 51
99 43	20 37
44 30	41 74
23 18	53 28
40 28	59 95
44 54	52 93
51 77	66 18
81 82	56 21
14 48	17 18
61 67	68 22
17 15	22 96
63 34	22 68
21 21	81 17
32 52	18 85
51 68	17 100
34 31	76 74
88 93	73 44
30 51	68 13
52 83	34 30
53 78	78 16
91 31	82 87
14 75	59 59
57 30	74 76
59 34	34 75
65 30	78 34
62 62	91 37
70 55	19 60
35 33	63 12
49 64	99 64
82 58	36 37
66 47	28 26
61 40	85 38
60 13	33 55
88 97	11 95
39 77	76 25
27 95	79 61
38 68	80 32
20 42	48 59
61 36	36 30
54 55	93 35
72 25	80 75
56 86	77 52
40 72	28 37
34 68	80 47
63 95	65 91
89 26	41 89
20 85	45 68
96 34	77 65
54 98	48 30
88 85	54 29
92 30	22 37
24 27	24 35
99 73	11 86
60 64	10 13
89 57	84 43
58 73	95 92
23 100	90 20
36 56	85 27
77 82	27 42
34 59	83 75
82 27	72 92
20 35	53 99
40 56	70 45
16 41	27 12
46 33	38 54
18 13	93 16
90 50	55 14
78 57	64 43
24 41	12 93
19 34	82 79
86 50	65 85
96 10	60 59
72 12	65 22
62 45	45 18
77 76	51 66
71 12	72 58
48 30	87 34
50 55	84 81
53 74	58 78
41 40	89 97
98 24	98 50
26 19	17 35
93 13	67 68
52 78	42 80
84 42	86 48
49 73	41 36
35 33	65 16
13 28	73 77
73 58	45 80
94 81	55 39
64 25	16 54
61 74	15 21
12 71	81 47
99 35	16 22
17 69	37 31
82 95	21 28
36 82	19 52
36 46	51 54
18 67	19 10
24 52	50 19
69 33	51 37
68 41	72 98
84 94	65 33
84 66	18 85
48 50	31 35
54 14	19 88
48 57	20 47
17 94	37 60
44 87	76 59
11 85	73 79
95 13	31 54
37 63	20 79
52 97	24 100
74 17	21 18
62 50	22 82
83 98	65 94
17 36	53 94
79 34	68 72
98 23	97 25
97 65	32 15
62 51	100 24
29 21	62 56
17 84	31 54
73 22	66 74
78 92	64 65
55 99	12 14
37 56	24 71
59 33	59 92
36 21	40 24
23 16	16 27
91 60	92 64
84 37	54 36
44 45	32 85
63 23	14 36
98 55	98 51
12 32	47 37
100 96	41 16
81 87	45 72
30 17	85 61
93 24	91 18
32 78	34 29
95 57	100 16
27 50	60 97
73 13	18 17
43 79	62 85
33 85	10 50
76 71	20 52
51 40	40 32
62 45	96 86
72 72	17 44
72 20	77 71
28 32	51 17
93 26	50 24
76 53	59 60
35 11	13 22
89 67	73 14
75 17	34 90
78 84	43 97
45 94	10 18
18 45	18 18
86 79	69 66
34 78	36 72
29 47	41 56
97 71	18 57
36 78	53 86
30 96	97 19
87 91	91 81
47 25	33 90
66 99	55 57
21 52	89 32
40 84	94 62
52 21	69 74
76 11	81 75
17 97	74 29
57 80	54 49
53 88	73 95
78 13	96 91
35 96	33 27
52 93	90 48
91 69	67 50
100 78	58 55
41 29	62 71
77 72	87 86
61 29	21 82
11 21	45 73
96 68	100 36
27 91	97 94
51 79	78 80
70 96	94 69
85 99	31 31
91 69	92 57
44 52	71 94
11 26	73 71
23 37	83 99
21 44	90 59
16 26	56 29
91 34	49 93
72 26	61 81
77 90	16 36
99 46	40 78
76 14	60 42
12 88	21 42
57 95	81 23
30 61	91 85
68 68	52 43
65 56	96 33
52 76	83 20
34 23	75 50
10 48	96 100
54 52	59 14
84 61	16 25
56 40	100 88
98 32	49 36
81 39	29 10
74 72	38 80
89 53	96 33
20 89	45 77
68 55	40 55
75 82	50 74
94 22	91 27
39 75	84 36
82 90	67 30
29 35	65 23
32 61	14 42
16 90	27 43
57 73	100 88
66 85	90 37
45 53	15 13
14 12	33 42
93 18	80 60
41 19	58 31
45 13	68 84
45 67	100 75
25 89	65 80
92 72	91 14
55 99	10 18
57 58	42 71
70 45	84 73
61 100	58 17
26 14	91 60
27 38	22 30
47 22	45 80
64 68	83 60
56 17	56 30
50 92	72 75
17 42	16 53
16 85	14 74
19 29	86 52
47 96	33 20
42 94	39 95
98 88	81 22
60 40	53 21
55 24	17 44
97 10	67 19
100 60	35 30
66 77	19 50
31 42	87 64
96 73	58 98
63 96	90 48
47 25	98 64
48 89	17 75
21 19	75 74
17 39	22 77
62 24	91 32
86 29	72 46
15 43	84 47
53 25	60 84
64 18	29 95
32 66	70 15
40 29	31 74
41 42	56 58
93 65	25 45
75 26	34 38
73 98	34 33
10 60	76 19
41 63	72 12
15 71	67 34
57 72	16 66
37 88	91 80
11 62	66 60
14 70	62 82
71 73	42 46
86 42	57 76
75 98	93 97
82 49	80 29
27 61	30 36
58 42	63 85
35 25	55 40
83 12	23 24
99 34	97 33
13 94	23 63
51 84	68 38
90 84	21 28
48 54	46 59
43 41	92 10
49 100	86 97
37 34	18 42
50 27	52 96
20 82	42 29
100 56	93 19
68 15	72 95
78 19	36 56
26 56	70 68
48 97	28 98
68 55	10 43
95 70	83 32
80 45	32 61
50 35	74 78
55 61	39 27
12 62	53 61
84 62	79 27
51 70	97 57
55 66	14 82
40 84	95 75
32 63	97 37
89 74	43 31
17 56	36 29
81 95	53 93
52 45	72 28
13 16	14 91
100 42	98 22
44 18	74 52
11 12	23 56
85 19	39 72
12 96	63 53
95 76	87 41
81 88	74 22
77 64	33 22
23 37	10 62
89 30	14 36
91 72	71 95
85 71	32 93
30 72	49 74
100 64	11 66
56 31	12 58
55 38	80 42
41 84	10 27
82 20	54 68
20 54	74 67
98 93	91 15
54 69	11 14
81 55	20 66
24 58	71 16
44 58	73 46
77 38	42 92
78 13	84 72
42 76	74 61
23 24	23 60
96 36	65 86
75 53	53 52
27 28	32 50
89 41	72 35
100 98	92 37
63 23	47 44
52 51	45 91
96 56	37 53
66 29	60 76
82 28	33 56
80 64	46 38
54 11	100 80
54 79	24 85
99 37	18 19
82 25	93 55
70 51	63 22
83 62	24 85
28 93	53 26
99 29	50 51
100 60	82 60
11 66	10 75
81 37	86 12
93 19	59 90
57 15	56 47
90 86	80 25
89 81	23 20
86 75	51 71
68 42	70 36
31 26	21 13
69 26	41 21
11 17	100 98
24 82	73 49
28 78	97 55
26 74	29 23
34 80	47 88
63 30	12 60
21 31	66 71
34 43	69 84
40 51	34 34
21 76	95 13
48 56	28 66
95 22	54 32
76 38	11 88
42 55	94 88
64 25	16 26
46 44	11 37
74 42	52 81
85 29	34 25
34 70	95 71
52 55	75 51
12 32	87 65
89 14	96 65
94 36	72 93
60 95	56 51
23 44	34 20
35 42	90 40
38 11	94 14
57 78	71 43
39 71	22 18
10 28	72 31
13 82	20 33
66 35	22 78
27 77	41 53
12 48	23 52
71 97	62 70
40 74	79 28
17 75	13 53
97 82	12 77
62 70	83 27
15 51	85 60
75 40	21 46
82 47	48 11
29 96	81 41
77 99	74 79
41 70	54 79
47 99	75 63
73 99	53 47
65 21	66 61
72 61	77 36
65 77	61 63
17 93	19 73
92 68	84 94
12 100	25 100
92 73	24 75
25 45	63 76
81 99	96 58
88 65	21 91
60 42	44 50
60 43	50 17
65 83	65 64
20 22	58 62
41 25	49 22
50 55	95 46
37 97	85 54
11 11	32 54
37 48	86 27
93 82	62 70
20 20	26 100
26 80	10 57
11 18	36 94
61 86	15 72
67 42	72 49
49 33	41 13
30 23	18 88
71 42	47 54
16 14	90 57
87 54	64 32
42 77	23 88
13 74	15 64
37 56	29 90
83 10	28 83
56 61	76 91
28 44	78 36
67 82	83 71
62 34	33 100
91 81	20 71
20 44	46 96
14 27	76 21
94 10	68 93
99 68	22 33
40 71	70 72
50 33	13 23
63 93	63 23
63 46	85 30
73 89	35 41
28 34	89 12
42 24	97 87
33 65	10 18
80 40	23 97
79 17	55 88
14 67	34 26
56 46	86 14
36 17	30 19
48 89	64 20
68 49	57 70
81 57	42 31
54 87	31 46
22 75	19 77
96 48	44 53
16 81	24 80
80 82	61 55
24 50	57 86
89 93	41 94
67 28	22 79
34 18	11 90
78 34	78 27
24 77	22 71
88 36	68 77
96 78	95 66
88 55	52 10
55 79	39 95
66 94	64 39
47 22	77 35
19 57	13 45
39 77	35 22
64 16	65 55
17 42	79 10
14 11	82 21
31 54	97 30
35 58	17 83
14 60	53 97
44 23	78 10
24 19	73 64
43 69	39 36
16 97	85 52
29 95	26 67
31 19	14 19
94 11	42 70
47 48	58 64
23 44	47 83
13 41	72 73
55 28	57 38
39 79	56 28
71 77	96 41
96 63	44 43
62 51	95 72
16 84	26 99
43 47	66 61
28 21	69 26
56 38	56 92
96 96	82 65
97 85	67 97
43 28	50 54
10 73	94 23
50 59	77 39
66 93	74 56
90 40	61 68
22 16	67 93
77 48	23 51
48 15	24 78
61 10	81 29
78 76	44 77
38 49	70 22
14 53	14 86
99 91	31 13
43 13	61 62
17 92	58 66
49 49	14 62
22 62	26 96
93 54	46 66
31 93	44 40
13 45	91 86
59 89	59 15
45 27	91 70
76 24	66 61
51 29	21 25
18 24	99 82
67 87	64 23
33 76	29 85
64 57	60 34
25 34	75 77
81 20	69 24
36 61	64 80
87 89	79 87
63 56	55 37
51 71	59 42
34 92	99 25
31 87	97 89
55 54	25 85
17 79	66 69
98 66	97 47
90 28	61 53
49 19	69 51
94 96	98 65
45 95	98 92
88 58	42 52
16 77	88 53
47 71	52 100
62 52	20 45
95 13	67 87
53 11	53 93
22 50	93 76
73 56	98 20
96 10	55 37
14 73	77 74
78 86	26 85
35 38	73 54
35 77	66 21
29 94	42 93
20 10	41 77
65 85	61 17
52 23	55 63
71 81	46 54
54 65	69 61
34 14	14 34
28 66	49 45
36 92	95 19
39 50	74 52
57 43	52 35
84 59	98 76
93 82	28 99
49 20	48 69
11 47	15 97
20 38	53 41
77 14	25 78
37 66	50 92
94 99	56 68
90 75	72 47
84 48	55 35
37 71	65 70
75 26	24 94
17 84	61 24
27 75	43 73
11 49	20 53
56 15	51 44
23 77	47 47
100 67	35 75
31 26	27 75
33 88	27 93
58 26	92 15
33 14	17 39
40 49	53 13
95 94	20 95
33 53	60 75
11 58	47 62
68 13	56 21
13 83	87 78
71 89	33 56
27 71	16 58
95 58	71 12
100 78	54 19
74 63	76 46
58 12	55 16
93 29	80 19
16 32	99 10
62 44	56 96
64 14	69 76
13 56	90 16
84 72	52 86
48 40	33 87
73 62	97 62
11 15	15 61
94 47	43 96
67 58	42 46
24 86	30 94
78 16	31 45
40 60	14 59
57 86	55 52
87 50	22 56
88 44	68 63
95 21	98 77
11 53	67 66
39 91	51 76
88 87	38 61
80 22	29 96
99 91	84 12
90 13	83 31
88 58	87 17
92 43	64 37
80 57	66 86
57 14	50 29
77 75	89 58
53 21	23 93
11 21	32 28
84 12	16 46
49 37	58 89
43 72	54 42
20 17	30 31
83 28	67 100
76 29	63 81
70 98	11 82
41 74	93 12
42 100	42 53
32 18	37 69
36 71	45 48
29 15	59 44
53 73	54 36
89 100	71 20
14 94	90 15
41 78	11 79
17 87	15 98
52 60	43 34
51 78	66 85
21 45	24 78
35 57	99 83
83 89	16 87
12 57	11 53
71 89	28 75
62 33	55 65
26 14	61 35
13 23	21 79
18 41	32 37
24 29	52 82
99 49	43 68
62 47	78 40
69 69	65 42
27 54	76 19
81 45	56 13
20 18	27 100
20 46	22 88
52 92	39 29
66 29	11 62
32 82	35 11
96 37	91 48
17 55	46 21
19 78	47 26
14 52	96 41
39 33	76 83
20 57	58 47
