100
2732
2753
57 20	94 55
94 19	74 10
59 20	77 97
83 66	74 73
82 48	29 69
91 100	11 23
42 13	73 62
84 87	80 47
85 62	81 90
18 73	82 62
94 53	75 96
18 79	42 88
31 17	44 95
27 93	57 61
31 78	20 94
42 22	20 16
58 85	99 91
57 86	95 61
55 56	52 27
97 56	81 18
79 44	68 96
10 86	16 77
34 94	79 14
100 93	30 36
98 57	16 17
45 31	90 56
19 20	21 83
77 35	49 41
56 70	70 52
25 79	78 69
60 58	77 97
22 24	21 45
84 84	84 94
89 12	19 45
12 17	65 47
46 43	38 28
20 35	25 82
85 47	43 13
42 92	99 82
94 38	75 39
20 93	80 28
65 50	10 41
27 27	44 55
34 100	26 12
27 36	21 50
91 30	74 32
17 23	20 97
56 22	22 87
23 56	81 36
89 73	89 11
18 55	15 20
11 32	35 37
91 75	24 87
79 42	16 91
14 82	43 19
99 80	75 22
45 55	25 89
73 48	76 54
81 93	48 20
96 28	75 78
51 26	15 52
96 42	23 35
63 96	10 18
40 93	81 96
93 16	81 54
87 39	67 10
71 46	58 39
54 80	77 17
74 24	49 51
15 87	16 40
32 37	65 25
57 73	74 84
70 81	14 54
62 38	41 31
12 98	74 97
71 13	74 37
57 91	17 63
97 85	12 39
48 17	95 60
33 59	29 87
42 58	75 63
15 56	61 37
39 93	59 13
91 66	37 31
17 64	75 84
63 17	90 90
81 10	17 84
49 33	79 57
60 28	15 21
90 97	88 64
87 25	76 63
25 42	93 21
15 17	98 95
30 23	80 83
76 37	33 81
76 46	39 45
53 52	96 68
59 33	71 89
40 26	39 100
59 90	49 14
