105
1800
1800
41850 6075 75 0
38261 7387 40 0
23800 8275 365 0
21697 8111 95 0
7074 9671 25 0
5587 10135 17 0
5560 10071 125 0
5500 9865 20 0
3450 10382 22 0
2391 10727 84 0
761 10552 75 0
460 11185 50 0
367 11115 15 0
24785 8384 0 5
47910 6222 0 10
30250 7397 12 10
107200 156 0 50
4235 9857 10 2
9835 9770 0 5
9262 9707 50 5
15000 9435 0 10
6399 9798 0 5
6155 10114 10 6
10874 9408 0 11
37100 6590 0 41
27040 8430 50 30
4117 9835 60 5
32240 7735 150 40
1600 10083 0 2
4500 10054 0 6
70610 3381 75 100
6570 9718 0 10
15290 9383 102 25
23840 8568 0 39
16500 8837 0 30
7010 10024 40 13
16020 8754 60 30
8000 9531 0 15
31026 7685 165 60
2568 10123 0 5
2365 10720 0 5
4350 9921 0 10
1972 10377 45 5
4975 10389 0 15
29400 7633 0 91
7471 10322 0 24
2700 10208 25 10
3840 10808 0 15
22400 7985 150 90
3575 10374 0 15
13500 9905 0 60
1125 10950 0 5
11950 9288 158 55
12753 9278 0 60
10568 9674 85 50
15600 9125 95 75
20652 8916 0 100
13150 9380 89 65
2900 10490 20 15
1790 11061 0 10
4970 10407 0 30
5770 10240 0 35
8180 9517 0 50
2450 10661 0 15
7140 10439 0 45
12470 9441 80 80
6010 10386 0 40
16000 9019 110 110
11100 9644 0 80
11093 9828 15 80
4685 9914 0 36
2590 10283 60 20
11500 9225 5 90
5820 10264 135 50
2842 10094 0 25
5000 9843 0 50
3300 10187 25 35
2800 10050 0 30
5420 9793 300 60
900 11052 35 10
13300 9131 100 150
8450 9526 0 110
5300 9949 0 70
750 11102 25 10
1435 11050 0 20
2100 10067 0 30
7215 10089 225 104
2605 10076 25 40
2422 10192 0 40
5500 10677 0 94
8550 9519 0 150
2700 10302 0 50
540 10334 0 10
2550 10997 0 50
2450 10717 0 50
725 10531 5 16
445 10613 0 10
700 10592 60 20
1720 10789 0 50
2675 10844 100 90
220 10198 0 10
300 10895 0 15
405 10726 0 39
150 10511 0 20
70 10563 0 20
