105
3000
3000
41850 11323 75 0
38261 20032 40 0
23800 5337 365 0
21697 35400 95 0
7074 738 25 0
5587 7108 17 0
5560 7574 125 0
5500 3662 20 0
3450 3841 22 0
2391 100722 84 0
761 683 75 0
460 4764 50 0
367 2959 15 0
24785 510 0 5
47910 18148 0 10
30250 9936 12 10
107200 8900 0 50
4235 6831 10 2
9835 23918 0 5
9262 17913 50 5
15000 4814 0 10
6399 7344 0 5
6155 21288 10 6
10874 2329 0 11
37100 20547 0 41
27040 2510 50 30
4117 1727 60 5
32240 5141 150 40
1600 89 0 2
4500 2838 0 6
70610 5900 75 100
6570 7237 0 10
15290 8525 102 25
23840 3028 0 39
16500 603 0 30
7010 7747 40 13
16020 20057 60 30
8000 9006 0 15
31026 3011 165 60
2568 2657 0 5
2365 2400 0 5
4350 27241 0 10
1972 1367 45 5
4975 1964 0 15
29400 8895 0 91
7471 11669 0 24
2700 10045 25 10
3840 206 0 15
22400 2444 150 90
3575 44745 0 15
13500 4905 0 60
1125 10758 0 5
11950 5018 158 55
12753 11723 0 60
10568 8807 85 50
15600 6551 95 75
20652 2538 0 100
13150 3144 89 65
2900 7902 20 15
1790 3909 0 10
4970 3315 0 30
5770 4225 0 35
8180 1691 0 50
2450 4195 0 15
7140 4820 0 45
12470 5420 80 80
6010 3492 0 40
16000 2953 110 110
11100 832 0 80
11093 1851 15 80
4685 4817 0 36
2590 18413 60 20
11500 1778 5 90
5820 17057 135 50
2842 15724 0 25
5000 9892 0 50
3300 15067 25 35
2800 8667 0 30
5420 17742 300 60
900 9546 35 10
13300 314 100 150
8450 16679 0 110
5300 5892 0 70
750 54567 25 10
1435 26473 0 20
2100 7692 0 30
7215 6708 225 104
2605 9366 25 40
2422 3738 0 40
5500 7819 0 94
8550 31670 0 150
2700 1299 0 50
540 1412 0 10
2550 866 0 50
2450 3333 0 50
725 71399 5 16
445 35481 0 10
700 5441 60 20
1720 100596 0 50
2675 4304 100 90
220 23088 0 10
300 16094 0 15
405 335 0 39
150 11719 0 20
70 9613 0 20
